incident_id,incident_date,state,city_or_county,address,victims_killed,victims_injured,suspects_killed,suspects_injured,suspects_arrested,incident_url,source_url
3217117,"May 23, 2025",Pennsylvania,Chester,205 E 10th St,1,4,0,0,0,https://www.gunviolencearchive.org/incident/3217117,https://www.nbcphiladelphia.com/news/local/chester-pennsylvania-shooting-teen-killed-party-gathering-delaware-county/4193453/
3217276,"May 22, 2025",Texas,Mckinney,7560 SH-121,1,3,0,0,1,https://www.gunviolencearchive.org/incident/3217276,https://www.fox4news.com/news/mckinney-man-arrested-after-fatal-shooting-outside-wine-bar
3212153,"May 18, 2025",Missouri,Saint Louis,800 block of Schirmer St,4,0,0,0,0,https://www.gunviolencearchive.org/incident/3212153,https://www.stltoday.com/news/local/crime-courts/article_c5207f37-3689-4086-bc24-93b71f28aa1f.html
3251434,"May 18, 2025",Arizona,Tucson,1100 block of S 6th Ave,0,4,0,0,0,https://www.gunviolencearchive.org/incident/3251434,https://www.kvoa.com/news/crime/tucson-police-search-for-south-6th-ave-shooting-suspect/article_9490da1f-550e-49cc-ad00-f5d8f002e793.html
3212178,"May 18, 2025",Georgia,Macon,4376 Log Cabin Dr,3,6,0,0,3,https://www.gunviolencearchive.org/incident/3212178,https://wgxa.tv/news/local/fourth-suspect-in-macon-bar-triple-homicide-dies-by-suicide-bibb-county-coroner-confirms-christopher-valentine-jr-coroner-leon-jones-bibb-county-sheriffs-office-midtown-daiqirui-bar-and-grill-mass-shooting-gun-violence#
3211829,"May 17, 2025",Michigan,Jackson,103 Lincoln Ct,1,3,0,0,3,https://www.gunviolencearchive.org/incident/3211829,https://www.mlive.com/news/jackson/2026/04/survivors-describe-chaotic-scene-after-porch-shooting-that-killed-1-injured-3-outside-jackson.html
3211604,"May 17, 2025",Washington,Seattle,172 S Washington St,3,1,0,0,3,https://www.gunviolencearchive.org/incident/3211604,https://www.kiro7.com/news/local/murder-charges-filed-2-suspects-pioneer-square-nightclub-mass-shooting/K44PPBKBYVHRDFFGPDMVJC7SAA/
3211202,"May 16, 2025",Nevada,Las Vegas,1725 N Rainbow Blvd,1,4,1,0,0,https://www.gunviolencearchive.org/incident/3211202,https://www.8newsnow.com/investigators/las-vegas-police-investigate-drug-link-to-gym-shooting/
3211548,"May 16, 2025",Illinois,Chicago,600 block of S Homan Ave,0,4,0,0,0,https://www.gunviolencearchive.org/incident/3211548,https://www.cbsnews.com/chicago/news/mass-shooting-east-garfield-park-gas-station/
3209696,"May 11, 2025",Georgia,Valdosta,700 block of E Gordon St,0,4,0,0,1,https://www.gunviolencearchive.org/incident/3209696,https://www.walb.com/2025/05/16/update-wanted-man-turns-himself-following-south-georgia-prom-party-shooting/
3206964,"May 11, 2025",South Carolina,Florence,3027 E Palmetto St,1,5,0,1,1,https://www.gunviolencearchive.org/incident/3206964,https://www.wmbfnews.com/2025/05/14/arrest-made-florence-county-nightclub-that-killed-security-guard-sheriff-says/
